retain,move,depth,query
4745,17333,2,UPDATE ovc_care_health SET facility_id=4745 WHERE facility_id=17333;
7804,17286,2,UPDATE ovc_care_health SET facility_id=7804 WHERE facility_id=17286;
5953,9177,2,UPDATE ovc_care_health SET facility_id=5953 WHERE facility_id=9177;
1453,18556,2,UPDATE ovc_care_health SET facility_id=1453 WHERE facility_id=18556;
7383,19920,2,UPDATE ovc_care_health SET facility_id=7383 WHERE facility_id=19920;
3053,16467,2,UPDATE ovc_care_health SET facility_id=3053 WHERE facility_id=16467;
9135,16700,2,UPDATE ovc_care_health SET facility_id=9135 WHERE facility_id=16700;
3430,10797,3,UPDATE ovc_care_health SET facility_id=3430 WHERE facility_id=10797;
3430,20143,3,UPDATE ovc_care_health SET facility_id=3430 WHERE facility_id=20143;
7180,18926,2,UPDATE ovc_care_health SET facility_id=7180 WHERE facility_id=18926;
5506,15512,2,UPDATE ovc_care_health SET facility_id=5506 WHERE facility_id=15512;
4941,19929,2,UPDATE ovc_care_health SET facility_id=4941 WHERE facility_id=19929;
5725,8984,3,UPDATE ovc_care_health SET facility_id=5725 WHERE facility_id=8984;
5725,15142,3,UPDATE ovc_care_health SET facility_id=5725 WHERE facility_id=15142;
7624,10230,3,UPDATE ovc_care_health SET facility_id=7624 WHERE facility_id=10230;
7624,23172,3,UPDATE ovc_care_health SET facility_id=7624 WHERE facility_id=23172;
8006,11827,3,UPDATE ovc_care_health SET facility_id=8006 WHERE facility_id=11827;
8006,21321,3,UPDATE ovc_care_health SET facility_id=8006 WHERE facility_id=21321;
8706,15611,2,UPDATE ovc_care_health SET facility_id=8706 WHERE facility_id=15611;
7021,9451,3,UPDATE ovc_care_health SET facility_id=7021 WHERE facility_id=9451;
7021,17633,3,UPDATE ovc_care_health SET facility_id=7021 WHERE facility_id=17633;
7912,20338,2,UPDATE ovc_care_health SET facility_id=7912 WHERE facility_id=20338;
8285,16721,2,UPDATE ovc_care_health SET facility_id=8285 WHERE facility_id=16721;
4988,23992,2,UPDATE ovc_care_health SET facility_id=4988 WHERE facility_id=23992;
3160,20359,2,UPDATE ovc_care_health SET facility_id=3160 WHERE facility_id=20359;
1412,17140,2,UPDATE ovc_care_health SET facility_id=1412 WHERE facility_id=17140;
5684,11766,3,UPDATE ovc_care_health SET facility_id=5684 WHERE facility_id=11766;
5684,21280,3,UPDATE ovc_care_health SET facility_id=5684 WHERE facility_id=21280;
5313,17814,2,UPDATE ovc_care_health SET facility_id=5313 WHERE facility_id=17814;
245,13231,3,UPDATE ovc_care_health SET facility_id=245 WHERE facility_id=13231;
245,22653,3,UPDATE ovc_care_health SET facility_id=245 WHERE facility_id=22653;
6063,17483,2,UPDATE ovc_care_health SET facility_id=6063 WHERE facility_id=17483;
12710,22499,2,UPDATE ovc_care_health SET facility_id=12710 WHERE facility_id=22499;
6550,17264,2,UPDATE ovc_care_health SET facility_id=6550 WHERE facility_id=17264;
